Date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,SP500,T10Y3M,DGS10,OBMMIJUMBO30YF,DEXUSEU,DEXJPUS,DEXUSUK,CBBTCUSD,CBETHUSD,T10YIE,DCOILBRENTEU,VIXCLS,DAAA,DBAA,AMERIBOR,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS1,DCOILWTICO,DHHNGSP,EMVELECTGOVRN_interp,ECIWAG_interp,RSI,Volatility,SMA20,SMA50,OBV,Kalman,log_return
2019-03-14,-0.1,-0.38,0.31,-0.15,-0.1,0.009,-0.367425,2808.48,0.18,2.63,4.491,1.1304,111.71,1.3281,3853.95,131.4,1.94,66.18,13.5,3.84,4.9,2.5189,1.85,3.95,6.45,2.52,58.59,2.95,1.3178079781414578,,59.85334051417753,17.461010801979683,166.29599838256837,157.70039947509767,212812500,170.87324721195012,-0.0186300842104861
2019-03-15,0.48,-0.24,-0.25,-0.03,-0.19,0.009,-0.363209,2822.48,0.14,2.59,4.538,1.1326,111.57,1.3278,3902.8,135.99,1.94,66.11,12.88,3.82,4.87,2.51513,1.86,3.95,6.42,2.52,58.51,2.95,1.2991097019646851,,51.45429486337721,17.332021531938892,166.3974983215332,158.3063995361328,175677100,167.20532188379602,-0.0249306531937116
2019-03-18,0.46,0.23,0.45,-0.08,-0.07,0.009,-0.358272,2832.94,0.16,2.6,4.392,1.1337,111.41,1.3223,3970.5,137.01,1.96,66.65,13.1,3.82,4.87,2.52498,1.88,3.95,6.43,2.52,59.09,2.9,1.2396099286472195,,42.92401206682143,17.781729880780176,166.29599838256837,158.8809994506836,138152900,162.1566025747431,-0.0337602566111665
2019-03-19,-0.09,-0.47,-0.91,0.01,-0.05,0.009,-0.358962,2832.57,0.15,2.61,4.353,1.1346,111.38,1.3263,4000.85,138.15,1.95,67.13,13.56,3.82,4.88,2.51939,1.85,3.91,6.4,2.5,59.12,2.92,1.2212881292668851,,44.88833960963225,17.922017578452596,166.25999908447267,159.35339965820313,163764400,161.71689748629063,0.0068315138019721
2019-03-20,-0.39,-0.23,-1.04,-0.17,-0.23,0.009,-0.360791,2824.23,0.06,2.54,4.402,1.1352,111.41,1.3191,4031.85,138.73,1.96,68.35,13.91,3.78,4.83,2.51995,1.88,3.97,6.38,2.47,60.12,2.86,1.2041190250808091,,51.245655554626346,17.619672060508663,166.40399932861328,159.9011996459961,183975900,164.5076943639394,0.0236700754568241
2019-03-21,1.11,0.17,-1.22,0.31,-0.34,0.009,-0.36376,2854.88,0.05,2.54,4.337,1.1361,110.86,1.3073,3972.76,134.41,1.96,68.3,13.63,3.75,4.82,2.51797,1.86,3.92,6.33,2.48,59.98,2.86,1.1881026160889907,,52.22710002232071,16.63361345489062,166.70599975585938,160.37219970703126,200198900,165.6862780522397,0.0038610049255467
2019-03-22,-2.17,-1.57,-0.07,0.56,0.6,0.009,-0.367869,2800.71,-0.02,2.44,4.301,1.1282,109.76,1.3219,3983.78,135.63,1.9,66.29,16.48,3.67,4.74,2.51689,1.8,4.03,6.37,2.45,58.87,2.75,1.1732389022914298,,49.32018175327685,16.197539544080712,166.8284996032715,160.7743997192383,183809700,164.67712068221215,-0.010532180783356
2019-03-25,-0.05,0.6,-0.26,0.2,0.04,0.009,-0.387294,2798.36,-0.03,2.43,4.349,1.1324,110.09,1.3203,3907.53,133.01,1.88,67.37,16.33,3.67,4.71,2.52182,1.77,4.13,6.41,2.41,58.71,2.72,1.135563932064294,,52.51028313779727,16.08038336351234,166.91199951171876,161.21619964599608,196440900,165.8861115329488,0.0117957815060685
2019-03-26,0.76,0.23,0.47,0.05,0.19,0.009,-0.396453,2818.46,-0.05,2.41,4.215,1.128,110.5,1.3215,3921.45,133.28,1.86,67.51,14.68,3.64,4.71,2.51633,1.75,4.09,6.37,2.44,59.87,2.74,1.1253109990437646,,54.69925482404417,15.88568185795441,167.0894989013672,161.69379943847656,211878800,167.23078431350282,0.0083241457275637
2019-03-27,-0.5,0.16,0.49,0.76,0.09,0.009,-0.406998,2805.37,-0.05,2.39,4.214,1.125,110.38,1.3192,4026.53,139.08,1.84,67.35,15.15,3.62,4.67,2.51488,1.74,4.09,6.33,2.4,59.39,2.69,1.1162107612174927,,51.378261291723,15.444053576676763,167.24249877929688,162.10339935302736,201258500,166.21075230097605,-0.0108530378725725
